job_title,company_name,job_summary,job_link,job_tech_stack
Automation Tester (E-G2),Tech People Hungary Kft.,"Develop and introduce automated testing scripts using various technologies to test; Recommend improvements to testing processes and procedures; Stay up-to-date with the latest testing technologies and methodologies; Analyze, reproduce and track errors reported by the customer or...",https://www.profession.hu/allas/automation-tester-e-g-tech-people-hungary-kft-budapest-2245139?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,{}
Senior frontend developer (E01),Tech People Hungary Kft.,"Creating new functionalities of the financial systems Participation in the creation of the new, state of the art systems user interface Write clear, maintainable and testable code that you are proud of Confession free participation in cross-team function Running the mentorship wi...",https://www.profession.hu/allas/senior-frontend-developer-e-tech-people-hungary-kft-budapest-2243868?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,{}
Data Engineer,Richter Gedeon Nyrt.,"Low-code, no-code Power Platform megoldások fejlesztése RPA megoldások tervezése és implementálása A vállalati digitalizációt támogató, a manuális és papír alapú működést kiváltó automatizációs megoldások kialakítása MS SQL adatbázisok fejlesztése, SQL-re épülő sztenderdizációs f...",https://www.profession.hu/allas/data-engineer-richter-gedeon-nyrt-2256539?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"{SQL,BI,MSSQL,PYTHON}"
Üzleti adatmodellezési szakértő (data engineer),OTP Bank Nyrt.,"Elsősorban a területünk riporting rendszerét fogod támogatni; a forrás rendszerekből szükséges adatok előállításától kezdve az adatok megfelelő feldolgozásán keresztül egészen a publikálásig.NET környezetben objektum orientált paradigma szerinti alkalmazások fejlesztése, amelyek...",https://www.profession.hu/allas/uzleti-adatmodellezesi-szakerto-data-engineer-otp-bank-nyrt-budapest-2244902?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,{}
Warranty data analyst,thyssenkrupp Components Technology Hungary Kft.,"Hibaanalízis statisztikák gyűjtése a rendelkezésre álló adatbázisokból Belső hibaanalízis statisztika adatbázis létrehozása és karbantartása Automatikus lekérdezések írása az adatbázisból Prezentációk, riportok készítése Beszállító statisztikák és elemzések készítése Alapvető szá...",https://www.profession.hu/allas/warranty-data-analyst-thyssenkrupp-components-technology-hungary-kft-2262047?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"{SQL,""MS OFFICE""}"
Master Data Specialist,Reed Specialist Recruitment,"Be involved in the transition of master data processes from European entities to Hungary Be responsible for master data processing and management (Accounts Payable/ Accounts Receivable) Ensure master data accuracy, drive MD clean-up projects Ensure compliance to overall master da...",https://www.profession.hu/allas/master-data-specialist-reed-specialist-recruitment-2252192?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,{}
Senior Data Engineer Talend (JT),Tech People Hungary Kft.,Ensuring development tasks to support new release of the project/solutions Grooming user stories with PO Supporting production requests or fixing issues Unit testing applications and reporting daily progress,https://www.profession.hu/allas/senior-data-engineer-talend-jt-tech-people-hungary-kft-budapest-2247801?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"{TESTING,JAVA,SQL,JSON,XML,CLOUD,AWS,AZURE,GIT}"
IT Üzleti Elemző,NMHH Nemzeti Média- és Hírközlési Hatóság,"fejlesztési igények felmérése, rendszerezése; igény leírások készítése, egyeztetése az igénylő szervezettel, informatikus kollegákkal; adatok- és folyamatok elemzése, modellezése; követelmények elemzése teljeskörűség, ellentmondás mentesség és megvalósíthatóság szempontjából; fun...",https://www.profession.hu/allas/it-uzleti-elemzo-nmhh-nemzeti-media-es-hirkozlesi-hatosag-2249664?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,{}
IT Üzleti elemző,UNIQA Raiffeisen Software Service Kft.,"UNIQA-nál használt meglévő IT háttér-alkalmazások elemzése, továbbfejlesztése és karbantartása A meglévő informatikai alkalmazások műszaki folyamatainak és funkcióinak, valamint koncepciójának megismerése Új vevői igények vagy törvényileg szükséges kiigazítások elemzése IT megval...",https://www.profession.hu/allas/it-uzleti-elemzo-uniqa-raiffeisen-software-service-kft-budapest-2246369?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,{}
Adatelemző szakértő,E.ON Észak-dunántúli Áramhálózati Zrt.,"Felelős a teljeskörű ügyféladatok elemzéséért, annak eredményeinek terjesztéséért Elosztóhálózati adatkoncepcióban való közreműködés (azaz a fő üzleti folyamataihoz kapcsolódó rendszerek adatáramlási stratégiája, forrás rendszerek azonosítása és törzsadatok karbantartási stratégi...",https://www.profession.hu/allas/adatelemzo-szakerto-e-on-eszak-dunantuli-aramhalozati-zrt-2248881?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,{}
