job_title,company_name,job_summary,job_link,job_tech_stack
Senior Data Platform Engineer,Elitmind,"We’ve been honored asMicrosoftPartner of the year 2023 in Polandand following that achievement we are focusing on growth and development, that’s why we are recruiting intensively.At the moment, we are looking for aData Platform Engineerto join our existing Team at Elitmind. In this role you will take part in innovative projects to implement solutions for our customers using the latest Data&AI technology. We offer tailor-made solutions which enable our customers to thrive in their business area, by unleashing the full potential of data and business processes automation.Elitmindprovides world-classData Reporting, Analytics, Machine Learning, AI consulting services, and Managed Services focused on Microsoft cloud technology – Azure Data & AI and Power Platform. To fully enable the Customers to embrace the power of analytics tools and solutions company also provides corporate learning programs via its educational platformElitmind Academy.Elitmindhas successfully transformed dozens of organizations in the following industries:Retail, Energy, Banking, Telco, Logistics, and Government Sector,delivering over300 Data & AI solutions.Combining business expertise with deep technical knowledge and skills is Elitmind’s primary asset, proven by solid business partnerships with top worldwide companies such as the General Authority of Customs in Qatar, Abu Dhabi Development Holding, ABB, Hitachi, Phillip Morris International, Stora Enso and Takeda.Join us and become another ElitManiac ! :)",https://nofluffjobs.com/hu/job/senior-data-platform-engineer-elitmind-remote-2,"['SQL', 'Azure', 'ETL', 'Python / PySpark', 'Angol (B2)']"
Remote Azure Data Engineer,YourITeams,"Interesting job in one of the bigest company in Polish automotive industryInternal projectsCooperation based on B2B contract or contract of employmentAdditional paid leaveOur organizational culture based on knowledge-sharing and friendly help – we do our best to give support you need to excel at what you doRemote work in multicultural teamFlexible hoursWe offer you an inspiring working environment – you will cooperate with experts in various fieldsPrivate healthcare, sport subscriptionAttractive non-financial benefits (cafeteria package)",https://nofluffjobs.com/hu/job/remote-azure-data-engineer-youriteams,"['Relational database', 'SQL', 'Scala', 'Spark', 'Hadoop', 'Kafka', 'Python', 'Linux', 'CLI', 'Bash', 'System integration', 'Web Services', 'API', 'Azure', 'Angol (B2)']"
Remote Lead QA Data Engineer,Link Group,We are looking for an experienced QA Lead Data Science who will be responsible for ensuring the highest quality of data and data analysis processes conducted by our Data Science team.,https://nofluffjobs.com/hu/job/remote-lead-qa-data-engineer-link-group,"['Data science', 'Data engineering', 'Quality assurance', 'QA', 'Python', 'Angol (C1)']"
Data Automation & AI Engineer,Pitney Bowes Polska Sp. z o.o.,"At Pitney Bowes, we do the right thing, the right way.At Pitney Bowes, you can too.We have amazing people who are the driving force, the inspiration and foundation of our company. Our thriving culture can be broken down into four components:Client. Team. Win. Innovate.We actively look for prospects who:•    Are passionate about client success.•    Enjoy collaborating with others.•    Strive to exceed expectations.•    Move boldly in the quest for superior and best in market solutions.Data Automation & AI Engineer| Poland - Remote | 40 hours per week |Competitive salary & benefitsPitney Bowes is a well-established, over 100-year-old global technology company, providing shipping & mailing solutions, data management software, and location intelligence offerings, powering billions of physical and digital transactions in the connected and borderless world of commerce with a strong focus on our clients, who are at the center of all that we do - from small businesses to 90% of the Fortune 500.Role Impact:In this position you are responsible in developing custom programs that automate business processes across all lines of business and functional areas at PB.  You will ideally have a firm understanding of data in order to more effectively collaborate with business partners in achieving their goals through automation. Position located remotely in Poland or flex from Bielsko-Biała office.If you feel you have the skills required to become ourData Automation & AI Engineer,then please click‘apply’today – we’d love to hear from you!We will:Provide the will: opportunity to grow and develop your career• Offer an inclusive environment that encourages diverse perspectives and ideas• Deliver challenging and unique opportunities to contribute to the success of a transforming organizationOnly those applications that include the candidate’s consent to process personal data by Pitney Bowes Polska Sp. z o.o., in accordance with the Data Protection Act as of 29 August 1997 (Journal of Acts of 2002, No 101, pos. 926 with later amendments) will be considered.",https://nofluffjobs.com/hu/job/data-automation-ai-engineer-pitney-bowes-polska-remote,"['Python', 'AI', 'GPT', 'Angol (B2)', 'Lengyel (B2)']"
Sr Data Engineer,Instructure Hungary Kft,"At Instructure, we believe in the power of people to grow and succeed throughout their lives. Our goal is to amplify that power by creating intuitive products that simplify learning and personal development, facilitate meaningful relationships, and inspire people to go further in their education and careers. We do this by giving smart, creative, passionate people opportunities to create awesome.And that's where you come in: At Instructure, we are building the world’s best ecosystem for teaching and learning. Millions of students and teachers use our products around the world, and we’re always finding ways to innovate and improve their experience. Our world-class software engineers solve education’s hardest data problems at cloud scale. This time we are searching for an engineer for our data team, who will help further improve our firm-wide data platform which provides the foundation for analytics solutions and other data use-cases.Get in on all the awesome at InstructureA fun, friendly, and helpful company cultureCompetitive compensationRestricted Stock Unit ProgramPrivate Medicover healthcare + cafeteria plan/SZEP cardEmployee Stock Purchase ProgramWellness motivation through PandaFitAn extra week off for the whole company every yearEmployee recognition program through MotivosityGoal-setting, proactive reviews, and internal trainingEmployee assistance program",https://nofluffjobs.com/hu/job/sr-data-engineer-instructure-hungary-kft-budapest,"['Data engineering', 'Cloud', 'AWS', 'DevOps', 'Data pipelines', 'Scala', 'Angol', 'Magyar']"
Data Engineer,Instructure Hungary Kft,"At Instructure, we believe in the power of people to grow and succeed throughout their lives. Our goal is to amplify that power by creating intuitive products that simplify learning and personal development, facilitate meaningful relationships, and inspire people to go further in their education and careers. We do this by giving smart, creative, passionate people opportunities to create awesome.And that's where you come in: At Instructure, we are building the world’s best ecosystem for teaching and learning. Millions of students and teachers use our products around the world, and we’re always finding ways to innovate and improve their experience. Our world-class software engineers solve education’s hardest data problems at cloud scale. This time we are searching for an engineer for our data team, who will help further improve our firm-wide data platform which provides the foundation for analytics solutions and other data use-cases.Get in on all the awesome at InstructureA fun, friendly, and helpful company cultureCompetitive compensationRestricted Stock Unit ProgramPrivate Medicover healthcare + cafeteria plan/SZEP cardEmployee Stock Purchase ProgramWellness motivation through PandaFitAn extra week off for the whole company every yearEmployee recognition program through MotivosityGoal-setting, proactive reviews, and internal trainingEmployee assistance program",https://nofluffjobs.com/hu/job/data-engineer-instructure-hungary-kft-budapest,"['Data engineering', 'Cloud', 'AWS', 'DevOps', 'Data pipelines', 'Scala', 'Angol', 'Magyar']"
Senior Data Engineer,NIX Tech Kft.,"NIX, a global supplier of software engineering and IT outsourcing services, is looking for aSenior Data Engineerin its office in Budapest (Vaci Greens, 13th district). You’ll be part of a team of professionals who are ready to find the best tailor-made IT solutions for their multinational clients in various industries and solve complex problems.WHAT WE OFFER:Stable long-term work environmentPaid English courses and conversation clubsOpportunities for professional and personal growthMentoring program, internal and external professional training programsComfortable office in Budapest (Vaci Greens)Every necessary tool and device in the office will be provided to comfortably perform all project tasks: computers, meeting rooms, spacious modern kitchens with professional coffee machines, comfortable recreation areas with game consoles, board games, and a selection of literature for every tasteSupport and care from our friendly team",https://nofluffjobs.com/hu/job/senior-data-engineer-nix-tech-kft--budapest-1,"['Python', 'Scala', 'SQL', 'Data engineering', 'ETL', 'ELT', 'Database', 'Orchestration', 'Cloud', 'Big data', 'Spark', 'PySpark', 'Data flows', 'Angol (B2)']"
Data engineer,Trans-Sped Kft,"Építsd velünk a jövőt! Csatlakozz egy erős hazai vállalat dinamikus csapatához, aminek célja, hogy felépítse a Trans-Sped jövőbe mutató, modern adatplatformját, üzleti intelligencia és analitika rendszerét. Lehetőséged lesz a többéves adattárház építésben, felhőtechnológiában, BI és analitika területén szerzett tapasztalataidat hatékonyan használni, valamint részese lehetsz egy stratégiai fejlesztési munkának is. Ha szeretnéd beleásni magad a Mesterséges Intelligencia nagyvállalati bevezetésébe, nálunk a helyed! A munkádban hazai és nemzetközi szakértők segítségére, valamint a vállalati vezetés támogatására is számíthatsz. A közreműködéseddel olyan technológia és adatkultúra kialakítására törekszünk, amire szakmailag büszke lehetsz. Ritka lehetőség, amikor részese lehetsz egy átfogó beruházásnak, ahol nem csak a meglévő szaktudásodra számítunk, de figyelmet fordítunk arra is, hogy folyamatosan képezhesd magad.",https://nofluffjobs.com/hu/job/data-engineer-trans-sped-kft-budapest,"['Data Engineering', 'Data visualization', 'Proactivity', 'Problem solving', 'Critical thinking', 'ADF', 'SSIS', 'SEM', 'SQL', 'DML', 'DDL', 'DQL', 'API', 'Magyar', 'Angol (B2)']"
Adattárház fejlesztő / Data Engineer,Procead Kft.,Adattárház fejlesztő / Data Engineer,https://nofluffjobs.com/hu/job/adattarhaz-fejleszto-data-engineer-procead-kft--budapest,"['SQL', 'Oracle', 'PL/SQL', 'Angol (C1)']"
Business Data Analyst / BI Engineer,NIX Tech Kft.,"NIX, a global supplier of software engineering and IT outsourcing services, is looking for aBusiness Data Analyst / BI Engineerin its office in Budapest (Vaci Greens, 13th district). You’ll be part of a team of professionals who are ready to find the best tailor-made IT solutions for their multinational clients in various industries and solve complex problems.WHAT CAN WE OFFER YOU:Stable long-term work environmentComfortable office in the 13th district of Budapest (Vaci Greens)Every necessary tool and device in the office will be provided to comfortably perform all project tasks: computers, meeting rooms, spacious modern kitchens with professional coffee machines, comfortable recreation areas with game consoles, board games, and a selection of literature for every tastePaid English courses and conversation clubsOpportunities for professional and personal growthMentoring program, internal and external professional training programsSupport and care from our friendly team.",https://nofluffjobs.com/hu/job/business-data-analyst-bi-engineer-nix-tech-kft--budapest-2,"['Hungarian Language', 'DWH', 'SQL', 'MS Excel', 'SDLC', 'Jira', 'Confluence', 'Angol']"
