job_title,company_name,job_summary,job_link,job_tech_stack
Senior frontend developer (E01),Tech People Hungary Kft.,"Creating new functionalities of the financial systems Participation in the creation of the new, state of the art systems user interface Write clear, maintainable and testable code that you are proud of Confession free participation in cross-team function Running the mentorship wi...",https://www.profession.hu/allas/senior-frontend-developer-e-tech-people-hungary-kft-budapest-2243868?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Automation Tester (E-G2),Tech People Hungary Kft.,"Develop and introduce automated testing scripts using various technologies to test; Recommend improvements to testing processes and procedures; Stay up-to-date with the latest testing technologies and methodologies; Analyze, reproduce and track errors reported by the customer or...",https://www.profession.hu/allas/automation-tester-e-g-tech-people-hungary-kft-budapest-2245139?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
DATA ENGINEER,UNIQA Raiffeisen Software Service Kft.,Adatbázisok és adatáramlási architektúrák tervezése ETL folyamatok tervezése és építése Pentaho Data Integration segítségével Területhez kapcsolódó komplex SQL lekérdezések készítése (pl. adatpiacok betöltésével kapcsolatban) Együttműködés data scientist és alkalmazásfejlesztő cs...,https://www.profession.hu/allas/data-engineer-uniqa-raiffeisen-software-service-kft-budapest-2242028?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['SQL', 'DEVOPS', 'LINUX']"
Üzleti adatmodellezési szakértő (data engineer),OTP Bank Nyrt.,"Elsősorban a területünk riporting rendszerét fogod támogatni; a forrás rendszerekből szükséges adatok előállításától kezdve az adatok megfelelő feldolgozásán keresztül egészen a publikálásig.NET környezetben objektum orientált paradigma szerinti alkalmazások fejlesztése, amelyek...",https://www.profession.hu/allas/uzleti-adatmodellezesi-szakerto-data-engineer-otp-bank-nyrt-budapest-2244902?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Data Engineer,Richter Gedeon Nyrt.,"Low-code, no-code Power Platform megoldások fejlesztése RPA megoldások tervezése és implementálása A vállalati digitalizációt támogató, a manuális és papír alapú működést kiváltó automatizációs megoldások kialakítása MS SQL adatbázisok fejlesztése, SQL-re épülő sztenderdizációs f...",https://www.profession.hu/allas/data-engineer-richter-gedeon-nyrt-2256539?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['SQL', 'BI', 'MSSQL', 'PYTHON']"
Senior Data Engineer Talend (JT),Tech People Hungary Kft.,Ensuring development tasks to support new release of the project/solutions Grooming user stories with PO Supporting production requests or fixing issues Unit testing applications and reporting daily progress,https://www.profession.hu/allas/senior-data-engineer-talend-jt-tech-people-hungary-kft-budapest-2247801?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['TESTING', 'JAVA', 'SQL', 'JSON', 'XML', 'CLOUD', 'AWS', 'AZURE', 'GIT']"
Adattárház fejlesztő / Data Engineer,OTP Bank Nyrt.,Részvétel banki folyamatok IT támogatásának kialakításában Online és batch szolgáltatások fejlesztése PL/SQL nyelven Webszolgáltatások generálása Komplex SQL lekérdezések optimalizálása Ad-hoc lekérdezések elkészítése Fejlesztésekhez kapcsolódó dokumentációk készítése Együttműköd...,https://www.profession.hu/allas/adattarhaz-fejleszto-data-engineer-otp-bank-nyrt-budapest-2241395?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['ADATTÁRHÁZ', 'SQL', 'FRONTEND', 'ORACLE', 'JAVA', 'GIT']"
IT Üzleti elemző,UNIQA Raiffeisen Software Service Kft.,"UNIQA-nál használt meglévő IT háttér-alkalmazások elemzése, továbbfejlesztése és karbantartása A meglévő informatikai alkalmazások műszaki folyamatainak és funkcióinak, valamint koncepciójának megismerése Új vevői igények vagy törvényileg szükséges kiigazítások elemzése IT megval...",https://www.profession.hu/allas/it-uzleti-elemzo-uniqa-raiffeisen-software-service-kft-budapest-2246369?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Adatelemző szakértő,E.ON Észak-dunántúli Áramhálózati Zrt.,"Felelős a teljeskörű ügyféladatok elemzéséért, annak eredményeinek terjesztéséért Elosztóhálózati adatkoncepcióban való közreműködés (azaz a fő üzleti folyamataihoz kapcsolódó rendszerek adatáramlási stratégiája, forrás rendszerek azonosítása és törzsadatok karbantartási stratégi...",https://www.profession.hu/allas/adatelemzo-szakerto-e-on-eszak-dunantuli-aramhalozati-zrt-2248881?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Data Analyst,Wonderline Europe Zrt.,Agilis csapat tagjaként analitikai és riport készítési feladatok tervezése és elvégzése Együttműködés a Fejlesztői és Business Analyst csapatokkal az analitikai és riport specifikálási feladatokban Részvétel technológiai proof-of-concept projektekben,https://www.profession.hu/allas/data-analyst-wonderline-europe-zrt-budapest-2248951?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['SQL', 'ORACLE', 'MS OFFICE']"
